Adress,Område,Region,Datum,Slutpris,Begärt pris,Bostadstyp,Upplåtelseform,Antal rum,Boarea,Balkong,Våning,Elevator,Byggår,Avgift/månad,Driftskostnad
"Norrtullsgatan 63, fönster mot innergård",Vasastan - Odenplan,Stockholms kommun,2022-06-22,3995000,3995000,Lägenhet,Bostadsrätt,2 ,57 ,False,0,True,,2842,8400
"Torsgatan 42A, 2tr",Vasastan - S:t Eriksplan,Stockholms kommun,2022-06-22,5300000,5195000,Lägenhet,Bostadsrätt,2 ,46 ,True,2,True,1926,2207,
Nina einhorns gata 1,Hagastaden,Stockholms kommun,2022-06-20,4200000,4295000,Lägenhet,Bostadsrätt,2 ,42 ,True,4 av 12,True,2018,2128,
Gävlegatan 32,Vasastaden,Stockholms kommun,2022-06-19,6525000,6525000,Lägenhet,Bostadsrätt,2 ,58 ,True,,,2017,2900,
"Hälsingegatan 3A, 2 tr",Vasastan,Stockholms kommun,2022-06-17,6400000,6695000,Lägenhet,Andel i bostadsförening,2 ,"53,5 ",True,2,False,1899,1802,
Västmannagatan 93,Vasastan,Stockholms kommun,2022-06-16,8020000,7495000,Lägenhet,Andel i bostadsförening,2 ,74 ,True,3 av 5,True,1918,3319,
"Dalagatan 44 A, Gårdshus högst upp 3tr",Vasastan - Odenplan,Stockholms kommun,2022-06-16,5680000,4995000,Lägenhet,Bostadsrätt,2 ,44 ,True,3 av 3,False,,1316,6000
"Roslagsgatan 42B, 2tr",Vasastan - Sibirien,Stockholms kommun,2022-06-16,5225000,4995000,Lägenhet,Bostadsrätt,2 ,51 ,True,2 av 5,True,1885,2667,9312
"Sveavägen 87, 5tr -Vind",Vasastan,Stockholms kommun,2022-06-16,9200000,8495000,Lägenhet,Bostadsrätt,2 ,65 ,True,5,True,1926,2834,6360
Roslagsgatan 49,Vasastan - Sibirien,Stockholms kommun,2022-06-16,5550000,5995000,Lägenhet,Bostadsrätt,2 ,"54,5 ",True,2 av 5,True,1929,3236,
Västmannagatan 87A,Vasastan,Stockholms kommun,2022-06-15,4695000,4695000,Lägenhet,Bostadsrätt,2 ,39 ,True,1 av 4,True,1900,2073,4900
Roslagsgatan 25,Vasastan-Sibirien,Stockholms kommun,2022-06-15,7420000,6495000,Lägenhet,Bostadsrätt,2 ,61 ,True,4 av 5,True,1902,3353,550
"Observatoriegatan 9, 1tr",Vasastan,Stockholms kommun,2022-06-15,4350000,3990000,Lägenhet,Andel i bostadsförening,2 ,34 ,True,1 av 4,True,1881,1680,4200
Observatoriegatan 12A,Vasastan - Odenplan,Stockholms kommun,2022-06-14,7750000,7195000,Lägenhet,Bostadsrätt,2 ,62 ,True,2,False,1888,2131,
Torsplan 8,Hagastaden,Stockholms kommun,2022-06-14,6600000,6495000,Lägenhet,Bostadsrätt,2 ,59 ,True,7 av 36,True,2018,3656,3718
