Adress,Område,Region,Datum,Slutpris,Begärt pris,Bostadstyp,Upplåtelseform,Antal rum,Boarea,Balkong,Våning,Elevator,Byggår,Avgift/månad,Driftskostnad
Ringvägen 139B,Södermalm,Stockholms kommun,2022-06-10,5150000,5650000,Lägenhet,Bostadsrätt,2 ,57 ,False,4 av 5,True,1927,3245,5880
"Ringvägen 139 A, 4 tr",Södermalm / SoFo,Stockholms kommun,2022-06-10,6240000,6250000,Lägenhet,Bostadsrätt,2 ,63 ,True,4 av 5,True,1926,3356,
"Bergsundsgatan 7, 3 tr",Hornstull / Södermalm,Stockholms kommun,2022-06-10,3850000,3990000,Lägenhet,Bostadsrätt,2 ,42 ,True,3 av 6,True,1932,2793,3000
Nytorgsgatan 19,Katarina,Stockholms kommun,2022-06-10,7000000,6450000,Lägenhet,Bostadsrätt,2 ,65 ,,2,False,1911,1256,14900
"Hornsbruksgatan 3A, vån 6/6",Hornstull,Stockholms kommun,2022-06-09,6250000,5895000,Lägenhet,Bostadsrätt,2 ,"59,1 ",True,6 av 6,True,1969,2516,3639
"Ringvägen 161, 3tr",Södermalm,Stockholms kommun,2022-06-09,4100000,3750000,Lägenhet,Bostadsrätt,2 ,40 ,,3 av 5,True,,1291,
Blekingegatan 42,Södermalm - Katarina Sofia,Stockholms kommun,2022-06-09,5700000,5295000,Lägenhet,Bostadsrätt,2 ,61 ,False,2,True,1966,2625,
"Högbergsgatan 81 D, 2,5 tr",Södermalm - Mariatorget,Stockholms kommun,2022-06-09,5350000,4975000,Lägenhet,Bostadsrätt,2 ,51 ,False,2,False,1896,3057,10568
"Bondegatan 13, 5 tr",Södermalm Katarina,Stockholms kommun,2022-06-09,4375000,3495000,Lägenhet,Bostadsrätt,2 ,35 ,True,5 av 5,True,1932,2209,
Bergsundsgatan 14,Södermalm,Stockholms kommun,2022-06-09,3700000,3600000,Lägenhet,Bostadsrätt,2 ,42 ,True,0,True,1939,3299,5400
"Bergsundsgatan 19, 1 tr",Hornstull,Stockholms kommun,2022-06-09,4465000,3995000,Lägenhet,Bostadsrätt,2 ,48 ,True,,,1930,2757,
Heleneborgsgatan 13 A - Accepterat pris!,Hornstull,Stockholms kommun,2022-06-08,5850000,5950000,Lägenhet,Bostadsrätt,2 ,59 ,,4 av 6,True,1913,3378,10000
"Lignagatan 7, vån 5",Högalid,Stockholms kommun,2022-06-08,5495000,5495000,Lägenhet,Bostadsrätt,2 ,70 ,True,5,True,1970,3256,6600
Gotlandsgatan 60,Södermalm - Nytorget,Stockholms kommun,2022-06-08,3050000,2695000,Lägenhet,Bostadsrätt,2 ,29 ,False,1 av 5,True,1935,1544,4800
"Borgmästargatan 9, 4 tr",Södermalm,Stockholms kommun,2022-06-08,4300000,3750000,Lägenhet,Bostadsrätt,2 ,41 ,,4 av 5,True,,2128,4800
Alsnögatan 20 (högst upp),Sofia,Stockholms kommun,2022-06-07,6600000,6195000,Lägenhet,Bostadsrätt,2 ,"63,1 ",True,6 av 6,True,2000,4026,6600
Urvädersgränd 6C Ö.G,Södermalm,Stockholms kommun,2022-06-05,4300000,3795000,Lägenhet,Bostadsrätt,2 ,39 ,False,,,1906,1367,6000
"Lundagatan 36E, 2tr",Södermalm,Stockholms kommun,2022-06-03,3495000,3495000,Lägenhet,Bostadsrätt,2 ,36 ,False,2,True,1930,1846,3396
Hornsgatan 55A,Södermalm,Stockholms kommun,2022-06-03,5500000,4895000,Lägenhet,Bostadsrätt,2 ,53 ,True,2,False,1905,2194,11200
Tavastgatan 23,Södermalm,Stockholms kommun,2022-06-03,5500000,5195000,Lägenhet,Bostadsrätt,2 ,"40,9 ",True,4 av 4,False,1883,2052,5500
Assessorsgatan 18F,Södermalm - Skanstull,Stockholms kommun,2022-06-03,5250000,4995000,Lägenhet,Bostadsrätt,2 ,64 ,False,1 av 5,True,1924,2352,6000
Götgatan 96A,Södermalm,Stockholms kommun,2022-06-03,3725000,3450000,Lägenhet,Bostadsrätt,2 ,35 ,True,3 av 5,True,1932,1026,6180
"Åsögatan 102, Vån 6",Södermalm,Stockholms kommun,2022-06-03,5700000,5100000,Lägenhet,Bostadsrätt,2 ,48 ,True,6 av 6,True,1999,2476,
Mariagränd 1,Katarina,Stockholms kommun,2022-06-02,3810000,3475000,Lägenhet,Bostadsrätt,2 ,33 ,,3 av 3,False,1650,744,484
"Östgötagatan 53, 3 tr",Katarina,Stockholms kommun,2022-06-02,4650000,4495000,Lägenhet,Bostadsrätt,2 ,46 ,,3,True,1929,1129,
Metargatan 9,Södermalm Sofia,Stockholms kommun,2022-06-02,3160000,2950000,Lägenhet,Bostadsrätt,2 ,31 ,False,1,True,1930,2067,4920
"Götgatan 101A, 4/4 tr ÖG",Södermalm - Skanstull,Stockholms kommun,2022-06-02,3800000,3575000,Lägenhet,Bostadsrätt,2 ,35 ,True,4 av 4,True,1926,1597,
Helgalunden 1,Södermalm / Helgalund,Stockholms kommun,2022-06-02,5700000,5495000,Lägenhet,Bostadsrätt,2 ,58 ,,2 av 3,False,1929,3895,
Högalidsgatan 38D,Högalid,Stockholms kommun,2022-06-01,4800000,4395000,Lägenhet,Bostadsrätt,2 ,45 ,,,,1913,1851,2872
